Word Valence_Mean
embattled 4.39
employment 6.47
engaged 8.00
engine 5.20
enjoyment 7.80
ennui 5.09
enraged 2.46
erotic 7.43
errand 4.58
event 6.21
evil 3.23
excellence 8.38
excitement 7.50
excuse 4.05
execution 2.37
exercise 7.13
fabric 5.30
face 6.39
failure 1.70
fall 4.09
false 3.27
fame 7.93
family 7.65
famous 6.98
fantasy 7.41
farm 5.53
fascinate 7.34
fat 2.28
father 7.08
fatigued 3.28
fault 3.43
favor 6.46
fear 2.76
fearful 2.25
feeble 3.26
festive 7.30
fever 2.76
field 6.20
fight 3.76
filth 2.47
finger 5.29
fire 3.22
fireworks 7.55
fish 6.04
flabby 2.66
flag 6.02
flirt 7.52
flood 3.19
flower 6.64
foam 6.07
food 7.65
foot 5.02
fork 5.29
foul 2.81
fragrance 6.07
fraud 2.67
free 8.26
freedom 7.58
friend 7.74
friendly 8.43
frigid 3.50
frog 5.71
frustrated 2.48
fun 8.37
funeral 1.39
fungus 3.06
fur 4.51
game 6.98
gangrene 2.28
garbage 2.98
garden 6.71
garment 6.07
garter 6.22
gender 5.73
gentle 7.31
germs 2.86
gift 7.77
girl 6.87
glacier 5.50
glamour 6.76
glass 4.75
gloom 1.88
glory 7.55
god 8.15
gold 7.54
golfer 5.61
good 7.47
gossip 3.48
graduate 8.19
grass 6.12
grateful 7.37
greed 3.51
green 6.18
greet 7.00
grenade 3.60
grief 1.69
grime 3.37
grin 7.40
gripe 3.14
guillotine 2.48
guilty 2.63
gun 3.47
gymnast 6.35
habit 4.11
hairdryer 4.84
hairpin 5.26
hamburger 6.27
hammer 4.88
hand 5.95
handicap 3.29
handsome 7.93
haphazard 4.02
happy 8.21
hard 5.22
hardship 2.45
hat 5.46
hate 2.12
hatred 1.98
hawk 5.88
hay 5.24
headache 2.02
headlight 5.24
heal 7.09
health 6.81
heart 7.39
heaven 7.30
hell 2.24
helpless 2.20
heroin 4.36
hide 4.32
highway 5.92
hinder 3.81
history 5.24
hit 4.33
holiday 7.55
home 7.91
honest 7.70
honey 6.73
honor 7.66
hooker 3.34
hope 7.05
hopeful 7.10
horror 2.76
horse 5.89
hospital 5.04
hostage 2.20
hostile 2.73
hotel 6.00
house 7.26
hug 8.00
humane 6.89
humble 5.86
humiliate 2.24
humor 8.56
hungry 3.58
hurricane 3.34
hurt 1.90
hydrant 5.02
icebox 4.95
idea 7.00
identity 6.57
idiot 3.16
idol 6.12
ignorance 3.07
illness 2.48
imagine 7.32
immature 3.39
immoral 3.50
impair 3.18
impotent 2.81
impressed 7.33
improve 7.65
incentive 7.00
indifferent 4.61
industry 5.30
infant 6.95
infatuation 6.73
infection 1.66
inferior 3.07
